track_id,frame,x,y
0,0,48,400
0,1,48,401
0,2,48,401
0,3,48,401
0,4,50,401
0,5,50,401
0,6,50,401
0,7,50,401
0,8,50,401
0,9,51,402
0,10,51,402
0,11,52,401
0,12,55,404
0,13,56,404
0,14,56,404
0,15,56,404
0,16,58,404
0,17,58,404
0,18,57,404
0,19,57,404
0,20,58,404
0,21,58,404
0,22,60,404
0,23,60,404
0,24,60,404
0,25,61,404
0,26,61,404
0,27,62,405
0,28,62,405
0,29,63,401
0,30,66,402
0,31,66,401
0,32,66,400
0,33,66,400
0,34,67,399
0,35,67,401
0,36,67,401
0,37,68,401
0,38,68,399
0,39,70,400
0,40,69,400
0,41,69,400
0,42,71,398
0,43,71,398
0,44,72,398
0,45,72,396
0,46,73,395
0,47,75,393
0,48,75,393
0,49,76,392
0,50,75,390
0,51,77,391
0,52,77,390
0,53,78,390
0,54,58,377
0,55,59,377
0,56,59,376
0,57,59,376
0,58,60,376
0,59,59,375
0,60,60,375
0,61,60,375
0,62,62,375
0,63,63,373
0,64,63,373
0,65,64,373
0,66,64,373
0,67,84,380
0,68,84,381
0,69,86,380
0,70,86,380
0,71,87,379
0,72,69,388
0,73,69,387
0,74,88,377
0,75,70,386
0,76,89,375
0,77,89,374
0,78,90,374
0,79,90,373
0,80,91,374
0,81,92,372
0,82,93,370
0,83,94,371
0,84,94,371
0,85,95,367
0,86,95,370
0,87,96,370
0,88,96,369
0,89,97,366
0,90,97,366
0,91,97,366
0,92,98,364
0,93,97,363
0,94,98,362
0,95,97,366
0,96,99,366
0,97,83,381
0,98,83,380
0,99,85,381
0,100,101,364
0,101,101,363
0,102,102,362
0,103,102,362
0,104,101,360
0,105,103,360
0,106,103,359
0,107,104,359
0,108,104,357
0,109,104,357
0,110,105,357
0,111,105,357
0,112,106,357
0,113,106,357
0,114,106,357
0,115,106,354
0,116,106,354
0,117,108,355
0,118,107,353
0,119,109,352
0,120,111,350
0,121,111,350
0,122,110,349
0,123,111,353
0,124,111,353
0,125,112,351
0,126,113,351
0,127,113,350
0,128,113,350
0,129,114,350
0,130,115,351
0,131,115,351
0,132,116,350
0,133,116,350
0,134,116,350
0,135,117,350
