track_id,frame,x,y
0,136,117,350
0,137,117,349
0,138,118,348
0,139,119,348
0,140,119,348
0,141,119,348
0,142,120,348
0,143,120,348
0,144,120,349
0,145,120,349
0,146,122,349
0,147,122,349
0,148,122,350
0,149,123,349
0,150,123,351
0,151,123,351
0,152,123,351
0,153,124,351
0,154,124,351
0,155,125,353
0,156,125,353
0,157,126,353
0,158,126,353
0,159,127,354
0,160,128,354
0,161,127,351
0,162,128,351
0,163,128,351
0,164,128,351
0,165,130,352
0,166,130,352
0,167,132,352
0,168,132,352
0,169,133,354
0,170,123,376
0,171,123,376
0,172,128,376
0,173,128,378
0,174,104,376
1,0,48,400
1,1,48,401
1,2,48,401
1,3,48,401
1,4,50,401
1,5,50,401
1,6,50,401
1,7,50,401
1,8,50,401
1,9,51,402
1,10,51,402
1,11,52,401
1,12,55,404
1,13,56,404
1,14,56,404
1,15,56,404
1,16,58,404
1,17,58,404
1,18,57,404
1,19,57,404
1,20,58,404
1,21,58,404
1,22,60,404
1,23,60,404
1,24,60,404
1,25,61,404
1,26,61,404
1,27,62,405
1,28,62,405
1,29,63,401
1,30,66,402
1,31,66,401
1,32,66,400
1,33,66,400
1,34,67,399
1,35,67,401
1,36,67,401
1,37,68,401
1,38,68,399
1,39,70,400
1,40,69,400
1,41,69,400
1,42,71,398
1,43,71,398
1,44,72,398
1,45,72,396
1,46,73,395
1,47,75,393
1,48,75,393
1,49,76,392
1,50,75,390
1,51,77,391
1,52,77,390
1,53,78,390
1,54,59,377
1,55,59,376
1,56,59,376
1,57,60,376
1,58,59,375
1,59,60,375
1,60,60,375
1,61,62,375
1,62,63,373
1,63,63,373
1,64,64,373
1,65,64,373
1,66,84,380
1,67,84,381
1,68,86,380
1,69,86,380
1,70,87,379
1,71,87,376
1,72,88,377
1,73,89,375
1,74,89,374
1,75,90,374
1,76,90,373
1,77,91,374
1,78,92,372
1,79,93,370
1,80,94,371
1,81,94,371
1,82,95,367
1,83,95,370
1,84,96,370
1,85,96,369
1,86,97,366
1,87,97,366
1,88,97,366
1,89,98,364
1,90,97,363
1,91,98,362
1,92,97,366
1,93,99,366
1,94,83,381
1,95,83,380
1,96,85,381
1,97,101,364
1,98,101,363
1,99,102,362
1,100,102,362
1,101,101,360
1,102,103,360
1,103,103,359
1,104,104,359
1,105,104,357
1,106,104,357
1,107,105,357
1,108,105,357
1,109,106,357
1,110,106,357
1,111,106,357
1,112,106,354
1,113,106,354
1,114,108,355
1,115,109,352
1,116,111,350
1,117,111,350
1,118,110,349
1,119,111,353
1,120,111,353
1,121,112,351
1,122,113,351
1,123,113,350
1,124,113,350
1,125,114,350
1,126,115,351
1,127,115,351
1,128,116,350
1,129,116,350
1,130,116,350
1,131,117,350
1,132,117,350
1,133,117,349
1,134,118,348
1,135,119,348
1,136,119,348
1,137,119,348
1,138,120,348
1,139,120,348
1,140,120,349
1,141,120,349
1,142,122,349
1,143,122,349
1,144,122,350
1,145,123,349
1,146,124,351
1,147,124,351
1,148,125,353
1,149,125,353
1,150,126,353
1,151,126,353
1,152,127,354
1,153,128,354
1,154,127,351
1,155,128,351
1,156,128,351
1,157,128,351
1,158,130,352
1,159,130,352
1,160,132,352
1,161,132,352
1,162,133,354
1,163,123,376
1,164,123,376
1,165,128,376
1,166,128,378
1,167,104,376
2,0,33,393
2,1,33,393
2,2,35,392
2,3,53,384
2,4,58,377
2,5,77,393
2,6,77,393
2,7,69,387
2,8,76,382
2,9,76,382
2,10,77,381
2,11,78,381
2,12,78,380
2,13,79,380
2,14,79,380
2,15,80,381
2,16,80,380
2,17,80,376
2,18,83,381
2,19,99,364
2,20,100,364
2,21,85,379
2,22,85,379
2,23,93,369
2,24,95,371
2,25,96,370
2,26,96,370
2,27,97,369
2,28,97,369
2,29,98,369
2,30,99,370
2,31,100,369
2,32,103,372
8,0,58,377
8,1,77,393
8,2,77,393
8,3,87,376
8,4,76,382
8,5,76,382
8,6,77,381
8,7,78,381
8,8,78,380
8,9,79,380
8,10,79,380
8,11,80,381
8,12,80,380
8,13,80,376
8,14,83,381
8,15,99,364
8,16,100,364
8,17,85,379
8,18,85,379
8,19,93,369
8,20,95,371
8,21,96,370
8,22,96,370
8,23,98,369
8,24,99,370
8,25,100,369
8,26,103,372
10,0,33,237
10,1,33,237
10,2,34,238
10,3,34,238
10,4,33,239
10,5,33,239
10,6,34,241
10,7,34,241
10,8,36,242
10,9,37,243
10,10,38,242
10,11,38,242
10,12,39,245
10,13,39,245
10,14,40,244
10,15,40,244
10,16,40,243
10,17,40,243
10,18,41,243
10,19,41,243
10,20,42,244
10,21,42,244
10,22,43,246
10,23,43,245
10,24,44,245
10,25,44,245
10,26,45,246
10,27,45,246
10,28,51,250
10,29,51,250
10,30,52,249
10,31,52,249
10,32,54,249
10,33,54,250
10,34,55,250
10,35,55,250
10,36,57,249
10,37,57,250
10,38,59,251
10,39,59,251
10,40,57,249
10,41,57,249
10,42,61,249
10,43,61,249
10,44,61,250
10,45,65,253
10,46,65,253
10,47,66,252
10,48,66,252
10,49,68,253
10,50,68,253
10,51,69,251
10,52,69,251
10,53,70,251
10,54,70,251
10,55,71,252
10,56,71,252
10,57,72,251
10,58,72,251
10,59,72,252
10,60,72,252
10,61,73,250
10,62,73,250
10,63,74,250
10,64,74,250
10,65,75,251
10,66,75,251
10,67,77,250
10,68,77,248
10,69,78,249
10,70,78,249
10,71,78,248
10,72,78,248
10,73,80,247
10,74,80,247
10,75,81,250
10,76,81,250
10,77,82,249
10,78,82,247
10,79,83,246
10,80,83,246
10,81,84,246
10,82,84,245
10,83,85,245
10,84,85,245
10,85,87,246
10,86,86,245
10,87,88,246
10,88,88,246
10,89,88,246
10,90,88,247
10,91,88,247
10,92,89,247
10,93,89,245
10,94,90,245
10,95,90,245
10,96,91,244
10,97,91,244
10,98,91,244
10,99,91,244
10,100,92,244
10,101,92,244
10,102,99,241
10,103,99,239
10,104,100,238
10,105,100,238
10,106,101,239
10,107,101,239
10,108,102,238
10,109,102,238
10,110,103,239
10,111,103,237
10,112,105,236
10,113,105,236
10,114,105,236
10,115,105,235
10,116,106,236
10,117,106,236
10,118,105,232
10,119,105,232
10,120,107,232
10,121,107,232
10,122,109,236
10,123,109,236
10,124,108,233
10,125,108,231
11,0,33,237
11,1,33,237
11,2,34,238
11,3,34,238
11,4,33,239
11,5,33,239
11,6,34,241
11,7,34,241
11,8,36,242
11,9,37,243
11,10,38,242
11,11,38,242
11,12,39,245
11,13,39,245
11,14,40,244
11,15,40,244
11,16,40,243
11,17,40,243
11,18,41,243
11,19,41,243
11,20,42,244
11,21,42,244
11,22,43,246
11,23,43,245
11,24,44,245
11,25,44,245
11,26,45,246
11,27,45,246
11,28,51,250
11,29,51,250
11,30,52,249
11,31,52,249
11,32,54,249
11,33,54,250
11,34,55,250
11,35,55,250
11,36,57,249
11,37,57,250
11,38,57,249
11,39,57,249
11,40,65,253
11,41,65,253
11,42,66,252
11,43,66,252
11,44,68,253
11,45,68,253
11,46,69,251
11,47,69,251
11,48,70,251
11,49,70,251
11,50,71,252
11,51,71,252
11,52,72,251
11,53,72,251
11,54,72,252
11,55,72,252
11,56,73,250
11,57,73,250
11,58,74,250
11,59,74,250
11,60,75,251
11,61,75,251
11,62,77,250
11,63,78,249
11,64,78,249
11,65,78,248
11,66,78,248
11,67,80,247
11,68,80,247
11,69,81,250
11,70,81,250
11,71,82,249
11,72,83,246
11,73,83,246
11,74,84,246
11,75,84,245
11,76,85,245
11,77,85,245
11,78,87,246
11,79,86,245
11,80,88,246
11,81,88,246
11,82,88,246
11,83,88,247
11,84,88,247
11,85,89,247
11,86,89,245
11,87,90,245
11,88,90,245
11,89,91,244
11,90,91,244
11,91,91,244
11,92,91,244
11,93,92,244
11,94,92,244
11,95,99,241
11,96,99,239
11,97,100,238
11,98,100,238
11,99,101,239
11,100,101,239
11,101,102,238
11,102,102,238
11,103,103,239
11,104,103,237
11,105,105,236
11,106,105,236
11,107,105,236
11,108,105,235
11,109,106,236
11,110,106,236
11,111,105,232
11,112,105,232
11,113,109,236
11,114,109,236
11,115,108,231
